component,calls,nid,catalog_symbol,module,library,importing_image,symbol_kind,relocation_referenced,relocation_count,observation_kind,acelogic_base_sha
Kernel,0,djxxOmW6-aw,__progname,libkernel,libkernel,sce_module/libc.prx,object,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,crb5j7mkk1c,_is_signal_return,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,NhpspxdjEKU,_nanosleep,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,hHlZQUnlxSM,getrusage,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,c7ZnT7V1B98,rmdir,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,QzB4O+bJQyA,sceKernelAprResolveFilepathsToIdsAndFileSizesForEach,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,eYAh2vlCY-U,sceKernelAprResolveFilepathsToIdsForEach,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,i3HWvW35jao,sceKernelAprResolveFilepathsWithPrefixToIds,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,w5fcCG+t31g,sceKernelAprResolveFilepathsWithPrefixToIdsAndFileSizes,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,C+Khtbbx2g8,sceKernelAprResolveFilepathsWithPrefixToIdsAndFileSizesForEach,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,VB-BtuIW8Xc,sceKernelAprResolveFilepathsWithPrefixToIdsForEach,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,uWyW3v98sU4,sceKernelCheckReachability,libkernel,libkernel,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,cfwBSQyr5Ys,sceKernelDebugWriteCppExceptionInfo,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,-YTW+qXc3CQ,sceKernelInternalMemoryGetModuleSegmentInfo,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,3k6kx-zOOSQ,sceKernelMlock,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,0Cq8ipKr9n0,sceKernelUtimes,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,IafI2PxcPnQ,scePthreadMutexTimedlock,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,VADc3MNQ3cM,signal,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Kernel,0,VAzswvTOCzI,unlink,libkernel,libkernel,sce_module/libc.prx,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
Libc,0,802pFCwC9w0,__udivti3,libc,libc,eboot.bin,function,true,1,static_import,615bae08c2613b6b8363203b8c40f58e2bf6eac6
